abdul: munar dusay tabara soley albert jaime gasol tauler abdul ayza
hearts: corazones corazón corazon ,por sincorazón serafines rompecorazones queridos entones corazones»
heath: heath bray fenwick blakeney epping beal gledhill woodley ainslie hackney
heinrich: heinrich heinrichs hermann theodor albrecht bernhard gotthelf ekkehard wilhelm georg
heir: heredero primogénito desheredado pretendiente segundogénito heredera primogénita ilegítimo sobrino primogénitos
helicopter: helicóptero helicópteros avión portahelicópteros aeronave aeromóvil aerodeslizador aerotransportado aerotaxi aeroplano
henderson: henderson hemphill gridley morrow mitchell farris hankinson pinckney brantley howards
henri: henri françois labadie auguste jean richet caumartin élie vuillard pierre
herald: herald heraldo daily diario tribune periódico telegraph semanario newsday enquirer
herzegovina: herzegovina bosnia serbia eslovenia croacia hercegovina yugoslavia kosovo eslovaquia srpska
hey: ¿sabes perdóname hacelo díselo llegaste caigo olvídame bailamos ¡feliz acuerdas
hide: esconder ocultarlos ocultar esconderlo ocultarla ocultarlo ocultarse esconderla ocultarlas ocultarle
highland: highland highlands upland chestnut woodlands uplands mache woodland mountaineers highlanders
highlights: resaltan resaltantes destaca resaltando destacaremos destacar destacables destacamos remarcables resalta
hitting: bateando batear golpeo golpear rebotó pateando batazo batea golpeando zurda
holders: poseedores detentan ostentan titulares ejercidos exentos admitidos depositarios vacantes notarios
holdings: holdings holding adquisiciones propiedad subsidiaria subsidiarias comprados subsidiarios subsidiario adquiridos
holes: agujeros perforados orificios agujereado agujero huecos cavadas perforado perforaciones circulares
holmes: holmes milligan moriarty maybrick abberline mcgoohan freeman deakins prick sherlock
holocaust: holocausto holocaust shoah shoá genocida judíos antisemitismo judío» judio nazis
honest: honesto sincera sincero honesta ecuánime irreprochable sensata reprochable honestos desinteresada
honored: homenajeada homenajeado honró homenajeados homenajeó honraron homenajeaba homenajearon premiaron honrada
hood: hood halston amontillado fireflash rackham chingo halstead spoiler crippen calicó
hopefully: espero consigas intentaré esperemos trataré procuraré sugiero necesitemos lleguemos intentemos
hopes: esperanzas ansias anhelando buscando anhelado alentando deseosa motivando deseando oportunidad
hoping: deseando buscando tratando intentando esperando decidido queriendo desanimar esperarlo intentar
hopkins: hopkins ellis denison elkins upson stanfield morris cummings mccullough standford
horizontal: horizontal horizontales horizontalmente vertical verticales verticalmente horizontalidad angulación verticalidad inclinadas
hosting: anfitrión aptra entretenimiento ausentado anfitrionas webshow telemaratón supermartes anfitriona anfitriones
hotels: hoteles hoteleras hoteleros hotelería hostales hotelera resorts restaurantes hostelería hosteleros
housed: albergaba albergó albergada alberga albergaban albergaron albergaría albergando albergara albergadas
hub: neurálgico concentrador multicentro dinamizador centro conectará conectándose unicentro conecta conectando
hugo: hugo ludwing heraud oscar victor cesar carus althaus schreiber césar
humanity: humanidad humanidad» conciencia inhumanidad conciencias civilidad humano» barbarie humana humanos»
hurt: lastimado lastima lastimarse lastimar lastimada lastimó lastimados sentirlo importarle afectarle
hybrid: híbrida híbrido híbridas híbridos hybrid hibrida enchufable mixta obtenible cruzamiento
hydrogen: hidrógeno hidrógenos dinitrógeno dihidrógeno dióxido amoníaco ionización nitrógeno metano oxígeno
hypothesis: hipótesis suposición conjeturado empírico macroevolución conjetural empíricamente evidencia teorías hipotetizado
ibm: ibm xerox computer microsystems compaq intel microcomputador computing computers microcomputadora
iceland: islandia groenlandia feroe noruega groenlandesa åland groenlandés groenlandeses islandesa vinlandia
icon: icono ícono iconos íconos icónico ídolo miniaturadeimagen símbolo imperdible imagen
identifying: identificación identificativas autoidentificación identificar identificativa identificaciones identifiquen identificativos identificando autentificación
idol: ídolo idol idols ídolos testify hair» crowns talent popstars idoling
ignored: ignorado ignoradas ignorados ignorada ignorarse ignorando ignorar omiso reiterando desestimadas
ignore: ignorar ignorarse ignorarlo equivocarse argumentar ignorarla atenerse equivocar discrepar insistir
illustrate: ilustrar ilustra comparar ejemplificar plasmar ilustran resumir ilustrativo ensalzar mostrarnos
illustration: ilustración ilustra ilustrar ilustraba ilustrado dibujo ejemplar portada ilustran contraportada
imdb: imdb filmaffinity cinenacional eldoblaje atrápame imbd allmovie pelicula peliculas biografiasyvidas
implement: implementar implementarla implementarse implementarlo implementara implementaría aplicar implantar implementación implemente
implies: presupone implica necesariamente presuponen presuponiendo supone justifica sobreentiende entiende presuponer
imposed: impuesta impuestas imponía imposición sancionando condicionó imponiendo imposiciones imponga amparándose
impressed: impresionado impresionó impresionada impresionados impresionando entusiasmada impresionaron entusiasmó gratamente entusiasmado
impressive: impresionante magnífica espectacular sorprendente impresionantes inmejorable asombrosa excelente grandiosa espectacularidad
imprisoned: encarcelado encarcelados encarcelada encarceló encarcela encarcelaron encarceladas encarcelan encarcelando encarcelar
imprisonment: encarcelamiento prisión reclusión condena encarcelamientos excarcelado condenado encarcelación arresto condenados
inaugural: inaugural inaugurales proclamaría celebró celebrada certámen intercolegial prestigioso primer flamante
inches: centímetros pulgadas pulgada centímetro milímetros cm pulg decímetros altura decímetro
incomplete: incompleta incompleto incompletas incompletos parcial completa acabada inconclusas inconclusa ilegibles
independently: independientemente independientes conjuntamente independiente independientes» simultáneamente teóricamente autónomamente independiente» separadamente
indicating: indicando indicación indican indicaría indicar indica indicaba indicaban señalando señalan
indie: indie rock mojinos rock/pop punkpunk grunge metalcore rapcore fangoria rockdrigo
indies: holandesas indias antilla antillas neerlandesas caribeñas curazao hispaniola revillagigedo jamaica
indo: indo indoaria ibéricas peninsular indoeuropeas ibero iber indoeuropea macaronésica pitiusas
infection: infección infecciones infeccioso infecciosa infecciosos amebiasis candidiasis inoculación brucelosis gingivitis
infinite: infinito infinita infinitud infinitos infinitas infinitamente inconmensurable infinite finito numerable
inhabited: habitada habitado habitaron habitadas habitados habitaban habitando poblaron habitaba poblaban
inline: coloques úsese arreglé coloque corregí refs añadí parrafos copyedit corregido
innocent: inocente inocentes innocente inocentemente inocencia arrepentida confesar inocencio arrepentido impenitente
innovation: innovación tecnológicas tecnológica innova competitividad i+d+i sustentabilidad innovadoras innovaciones desarrollo
innovative: innovadora innovadoras novedosa innovadores innovador innovación novedosos innovaciones innova novedosas
inns: roadhr sll wv homehr peñaflor}} bib alcala ronderos casas fullxf
inscription: inscripción lápida inscripciones epitafio epigráfico bajorrelieve lábaro fechada votiva crismón
inspector: inspector comisario subinspector inspectora subcomisario inspectoría superintendente comisaría inspectores comisaria
installation: instalación reinstalación desinstalación instalado instalara museográfico instalada acondicionamiento desmontaje instaladas
instances: casos arbitrarios inexistentes recurrencias arbitrarias omisiones repitan incidentales errados infrecuentes
instructor: instructor instructora instructivo instructores adiestrador ayudante asistente entrenamiento docente estudiante
integral: integral fundamental conjunto integrable determinante integrales portante integrador integradora orientable
intelligent: inteligente inteligente» inteligentemente inteligentes amigable empática ingenua comprensiva sofisticada intuitiva
intense: intensa intenso intensificada intensos intensas intensifica experimentada fortísima intensificación intensificado
intensity: intensidad intensidades intenso intensificador penetrante intensifica intensifican intensos intensificada intensificado
interactions: interacciones interaccionan interacción interactúan interactúen interactuando interaccionar interactuado interacciona interactúe
interchange: expressway autopista interchange intercambiador troncal autovía cruce nishiseto peaje autovías
interim: interina interino provisional vicecoordinador reemplazante interinamente sustituto portavocía exrector interinato
interpreted: interpretarse inequívocamente preceder ejemplificado reinterpretado expresada interpretable expresado ejemplificada referido
intervention: intervención intervencionista intervencion mediación intervencionismo urgencia intervencionistas desatendido pronta instauración
introduce: introducir incorporar introducirle introducirlas introducirse introducirla introducirlo introdujeran introdujera introduciendo
inventor: inventor patentó inventado inventora patentado patenta invento inventó invención inventada
investigate: investigar investigarse investigarlo investigara investigará investiguen investigue investigan esclarecer investigo
investigations: investigados investigativos peritajes investigaciones indagaciones esclarecimiento periciales investigaron investigadas averiguaciones
investors: inversionistas inversores inversionista inmobiliarios accionistas inversiones emprendedores empresarios inmobiliarias prestamistas
invitation: invitación invitaciones invitacional invitara beneplácito ofrecimiento invitarle acudiría invitarlo acudido
involve: involucran implicar involucrar implican involucren involucre involucra involucrando realizarse recurrirse
ion: ion ión plasma iónica iónico iones dipolar cesio apolar dador
ips: vandalicas ips vandalicos vandalizan vandalismos vandalizados vandalizadas vandaliza vandalizando ip´s
iso: iso iso/iec aenor sgs smi tgz wmo aiff nch ecma
istanbul: estambul ankara antalya esmirna edirne mersin istanbul izmir trabzon shanghái
jacksonville: tampa seattle oakland beach lauderdale portland sizzlers dallas jacksonville seattle/tacoma
jail: cárcel prisión carcel preso carcelero recluso excarcelado carceleros penitenciaría presidio
jake: jake donny rickie carlie ellie johnathan liam josh allie jesse
jamie: andy jamie bobby denny johnathan kellie charlie brian bobbie natalie
jam: salsera jam salsero pipe puerca cachao changa tómbola cargosa salán
janeiro: janeiro curitiba recife cuiabá belém niterói campinas brasilia manaus brasil
jeffrey: stephen ronald jeffrey jerrold aaron geoffrey melvyn robert hartnett marvin
jennifer: jennifer angie sandra brenda michelle karyn valerie jessica aimee janet
jeremy: jeremy josh brendon kevin johnathan brendan adam trevor aaron matthew
jesse: jesse jake reese brad caleb josh derrick justin joshua carrie
jessica: jessica sandra natalie jennifer scarlett lauren julianna heather deena julianne
jets: jets skyhawks aeros bombers jet phantoms interceptores e/f hurricanes pipers
jin: bahman khaled sharam zakaria ghassan ahram idris dost mirwais ahad
joel: saul joel eric jonathan isaac kerwin edgar jhonatan alex brendan
johnston: johnston hollingsworth bunnell mccreary doherty buchanan bartley mccrory mccrea woodard
joins: nace ingresa unen juntan dirige uniéndose encamina contactan adentra entra
joke: chiste broma gracioso ridículo estúpido irónico disparatado exabrupto sabelotodo chistoso
jorge: henriquez albeiro oswaldo raul alirio pedrozo gilberto camilo leonel alfonzo
joshua: joshua david samuel arik jonathon lemuel saul boaz daniel jonathan
joy: gloria consuelo alegría gracia amor tristezas tapatía adoro gracia» cristiada
judaism: judaísmo judaismo bahaísmo jaredí criptojudaísmo antijudaísmo caraítas rabinos rabínico judaica
judgment: juicio juicioso juzgará juzgarse calificador ejecutoria apercibimiento preceptivo juzgue juzga
julia: julia claudia marcia cornelia patricia octavia lelia brenda miriam clarissa
julian: julian adrian valerian tocayo max pablo mark basil edmund richar
julie: julie diane isabelle catherine cathy carole kathy charlene sarah patricia
julius: julius augustus adolphus caesar cornelius justus carus pius mommsen felix
jumping: saltar acrobacia piruetas saltador acrobacias saltos saltando saltadores saltarina saltan
karen: karen sara kristen krista karin amanda maryann arlene julie rebecca
karnataka: berguedà ampurdán creu ampurdanés gerundense vidreres valldigna palafolls espluga cataluña
kazakhstan: kazajistán kazajstán uzbekistán tayikistán kirguizistán kirguistán tajikistán turkmenistán azerbaiyán uzbekistan
kenny: jimmy kenny jackie lonny freddie ronnie lonnie gary donny eddie
kerry: kerry plenty donaghy tipper meagher romney kellie mcallister mcgovern newlin
keyboard: teclado teclas teclados clavicordio tablatura sintetizador tecla theremín xilófono piano
keys: llaves teclas teclado claves llave pads tecla tokens do# timbre
kills: matan mata hiere asesine matando asesina matar ataca matándolo matará
kilometers: kilómetros kilometros km quilómetros kilómetro dista distando  km kilometraje kms
kilometres: kilómetros km quilómetros kilómetro kilometros  km millas dista punto_más_bajo km,
kingston: kingston bridgetown kingstown williamstown rockhampton castletown middletown queenstown leamington bedford
kitchen: cocina comedor lavandería cocinas fregadero secadero despensa retrete alacena sótano
kit: kit manta joma zippo denim equipación imac bata jamm chum
knee: rodilla tobillo pierna esguince rodillazo cadera lesión muslo hombro tendón
kosovo: kosovo herzegovina bosnia yugoslavia metohija yugoslavas srpska serbia yugoslava herzeg
kumar: estelrich francesc dídac felip bertomeu jordi llorens estellés batllori lluís
kurt: kurt erich dinger curt rath rathmann wolfgang emil waltraud steiner
kyle: kyle ryan tanner gavin dean nick sam cassie lindsey jamie
lacks: carece carecen carecido carente carecer carezca confieren aporta contrastado confiere
lancaster: lancaster rockingham guilford edinburg durham dunkirk northampton thornburg eastham albany
landmark: hito emblemático monumental emblemática monumento emblemáticos histórico histórico» emblemáticas rubial
landmarks: monumentos hitos emblemáticos neurálgicos singulares centenarios imponentes edificios monumentales atractivos
lang: lang kahn kress kull kral singin marg berke noon bast
laser: láser laser láseres lásers ultrasónico detector photon ultrasónica excimer fotónico
lasting: duradero perduración duradera perdurar perdurable perdura durado duraderos transcurrir perdurables
lat: lat lus vir pontis mappa ulo donis onis punctum manus
latvia: estonia letonia lituania moldavia latvia bálticos bielorrusia latvijas estonias rumanía
lawsuit: pleito demandado demandó querella litigio demandar querellante interpuso demandaría demandaron
lebanese: libanés libanesa libanesas libaneses líbano gemayel jordano tunecino tunecina marroquí
lecture: disertó lectures conferencias discurso lecture disertante paraninfo ponencia charla disertación
lecturer: profesor catedrático catedrática conferencista conferenciante doctorarse profesora becario emérito investigador
lectures: conferencias seminarios charlas conferenciantes impartidos ponencias divulgativas impartidas impartió coloquios
legally: legalmente jurídicamente civilmente ilegalmente legal legítimamente legal» legales legalizada pernada
legendary: legendario legendaria legendarias mítico legenda legendarios mítica famoso míticos leyenda
legends: leyendas legendarios legendarias míticos míticas leyenda legendario mítico mitos legenda
leicester: leicester northampton leeds colchester manchester newcastle peterborough doncaster nottingham norwich
lens: lente óptico lentes focal refractiva reflex teleobjetivo nasmyth cenital óptica
leon: leon joel wilber faustin wilbert flory aaron edgar david saul
leslie: leslie kellie jerrold keith wilburn nathan patridge madeline fannie mitty
lessons: lecciones solfeo lección aprendidos ejercicios aprendidas impartidas aprendiendo enseñaban enseñaba
licence: licencia autorizado licencias permiso autorización autorizados permisos expedido autorizaciones expedidos
licensing: licencias sindicación licenciatarios licencia licenciatario autorizacion autorizaciones licenciamiento legales licenciar
lift: levantarlo bajarlo elevarlo bajar levantar levantarla subir enderezar flexionar enganchar
lighthouse: faro islote baliza farero oceanario isla islita timaukel lighthouse faros
lighting: iluminación luminarias luces retroiluminación lámparas iluminaciones iluminar alumbrado iluminadas iluminan
lightning: trueno ventisca rayo truenos relámpago relámpagos chispa llamarada destello llameante
likes: gusta encanta gustan admira encantan disfruta coqueteando agradan geniales fastidiar
likewise: igualmente contrariamente contrario tanto señaladamente tal circunstancialmente aquéllas consecuentemente igual
linda: rebecca laura sara esther josie alison deborah martha priscilla jolene
listen: escuchar escucharlos escucharla escucharlo escucharle escucharlas oír escuche escuchara escuchen
literacy: alfabetismo alfabetización analfabetismo alfabetizada alfabetizar alfabetizados analfabetas empadronada alfabeta analfabeta
lithuania: lituania letonia estonia moldavia bielorrusia lituana lituanas polonia lituano bálticos
lithuanian: lituano lituana lituanas lituanos lituania bielorruso letón polaca polacas polaco
lit: lit encendida literalmente candil ‘mi encienden encendían ‘a farol resplandece
liu: khalaf khalil mahmood siddiq abdallah khattab nahyan hasan ghassan asghar
loaded: cargado cargaba cargada cargando cargar cargados cargaban descargando descargaba descargada
locality: semiurbano poblado pobladura buglé pedanía pedanías cortijada colindancia tamá hiendelaencina
lock: candado cerradura compuerta cheat cheats llave palancas grillete pestillo candados
logan: logan bullitt glades elkins boone summerfield pierce elizabethtown danvers pike
logical: lógico lógica lógicas decidible lógicos proposicional razonamiento axiomática intuitiva ilógica
logos: logos logotipos logotipo logo rótulos emblemas creados equipaciones letreros culos
lok: melillense jove antequerano langreo estepona formentera lucense ovetense luarca llamazares
lon: lon yul pig bud mae ran hotei nip abe koike
loose: suelto revienta afloja madeja sueltos enredada tuerca sueltas suelta mancuerna
louise: louise christine pauline josephine louisa anne yvonne christin jeannine adeline
louisville: cincinnati louisville memphis pittsburgh houston dallas denver cleveland detroit milwaukee
lou: lou lassie latifah yasmine connie tammi willie shimmy donny charley
loved: amaba amaban amó queridas enamorarme encantaba enamorara olvidara conocí querida
lover: amante amada enamorado seductor enamoraba enamoradizo amor enamorada confidente enamorara
loves: enamorado enamorada encanta gusta ama enamorarme enamoradizo perdidamente enamore enamorar
lucas: lucas bilson tobias tobin gustin gurney blucas reubens catlett klemmer
lucky: afortunado lucky tente majo juanito gafotas brujita apuesto caradura gentil
lucy: lucy annabella katherine annabel gwendolyn olivia pollyanna millie sally annabelle
ludwig: ludwig friedrich schleiden friederich heinrich diederich eberhard carolsfeld mengelberg schlick
lutheran: luterana luterano luteranas evangélica luteranos evangélico protestante luteranismo lutheran metodista
luxembourg: luxemburgo luxembourg luxemburg luxemburgueses luxemburguesa luxemburgués bélgica liechtenstein luxemburguesas mónaco
lynn: lynn shanley janet landy nealon sheedy dorough lindsey hart joanne
lyon: lyon clermont vergennes sherbrooke montpelier marseilles lyonne claye lancy lille
macdonald: kennard woodworth farley ackroyd satterfield macdowell corley mccullers mills macdougall
macedonia: macedonia macedonio serbia macedonias kosovo albania bulgaria hercegovina bosnia herzegovina
madagascar: madagascar comora comoras seychelles comores mayotte antsiranana mascareñas gabón polinesia
magnitude: magnitud magnitudes magnitud_aparente telúrico cataclísmica corrimiento magnitude aparente telúrica eclipsante
maharashtra: berguedà orensana almazora vidreres berguedá alicantina leridanos orensanos viladecavalls ampurdán
mainland: península penínsulas islas isla isleño isleñas arafura continente isleña insular
maintaining: mantención manteniendo garantizando preservando inamovilidad mantener sostenimiento mantenimiento integridad respetabilidad
maintains: mantiene mantienen mantenido manteniendo gestiona vincula posee establece proporciona mantenida
maker: artesano aventador fundidor cerero llamador cajista ebanista vendedor entallador fabrico
malayalam: mallorquí catalán iquino valenciano mallorquín escriptors patufet albaladejo mañá joanot
malaysian: singapurense malasio malayo kuwaití malaya bangladesí taiwanés tailandesa surcoreano indonesio
malcolm: leslie malcolm wilby ackroyd malcom winstone reginald trevor kingsford forrester
malta: malta maltesa valeta gibraltar malteses gibraltareña maltés albania valetta británicas
mammals: mamíferos micromamíferos roedores marsupiales reptiles mamífero insectívoros carnívoros primates artiodáctilos
manages: logra encarga logran intenta consigue intentan planea consiguen planean persigue
mandatory: obligatoria obligatorio obligatorios obligatoriedad obligatorias obligatoriamente decretados visados isr suspensivos
mansion: mansión solariega palacete casa finca palacio palaciego caserón mansion casona
manuscripts: manuscritos manuscritas códices manuscrito manuscrita folios incunables miniados pergaminos manuscrit
marble: mármol mármoles alabastro granito pentélico travertino pórfido jaspe yeso cantería
marco: fabrizio brizio aldo gianni giovanny giorgini paolo mauro giovani zunino
marines: marines paracaidistas submarines expedicionaria escuadrón dragoon navy escuadrones brigade anfibias
marion: marion augustine josephine roane louisa moline caroline loraine charlotte hester
marking: marcan antecediendo fecha colocación inflexión coincidente culminantes marcar última precediendo
marshal: mariscal ariscal mariscales lugarteniente vicecomandante coronel teniente lugartenientes brigadier jefe
marsh: marsh bushy darling pantano murray ennis solway moshannon burrard bellis
martha: martha elizabeth amelia muriel millie julia helen isadora doris deborah
mascot: mascota mote mascot avispón gator logo mascotas pantera puppies conejillo
mask: máscara mascara máscaras enmascarado traje enmascara disfraz mascaras monóculo mascarilla
mate: rujano gregario compañero parido ántero preciado berrendero pezoa sparring acompañando
mathematician: matemático geómetra astrónomo polímata matemáticos ajedrecista cosmólogo geógrafo semiólogo geómetras
mayors: alcaldes concejales corregidores alcaldías alcalde heraldistas oriundos municipales ayuntamientos hermanados
mcdonald: mcdonald mcdonalds burris griffin stew lemons butterfield kenner tiffin cooks
measurement: medición mediciones medir medido calibración metrología angulación calorimetría cuantificación calorímetro
measuring: medición mide medir  ft midiendo miden medido medían diámetro angulación
mechanics: mecánica mecánicos cuántica electrodinámica astrodinámica cromodinámica cuánticos geometría mecánicas relatividad
mediation: mediación consenso consensos resuelva consulta conciliación mediaciones consensuada ratifico solicitud
melody: melodía estribillo melodías melodia estribillos melodias tonada melodioso melódica armonías
memories: recuerdos memoria pensamientos memorias amnesia recuerdo añoranza vividos vividas vivencias
memphis: memphis houston dallas denver detroit nashville tulsa filadelfia seattle minneapolis
mere: mera —esta mero —sólo valía escasísima —que amplísima puridad mismo—
mesa: tucson mesquite arizona flagstaff albuquerque california}} chula yorba valley california,
mess: lío metido arreglara arreglando llevé arreglamos arreglarlos arreglarla arreglarlo bajé
meter: metros braza  ft vallas milésimas pértiga combinado centésimas  m hectómetros
mhz: mhz khz vhf sintonizado sintoniza uhf sintonizar sintonizarse sintonizan sintonizador
michelle: michelle charlene natalie cristin jennifer cristine jessica vanessa marlene melissa
midnight: medianoche madrugada amanecer noche anochece anochecer madrugadas mañana plenilunio amaneció
migration: migración migraciones migratorio migratorios migrante migratoria emigraciones migrantes emigración migrando
militia: milicia milicias milicianos miliciana miliciano milicianas lealista contraguerrilla tropa voltígeros
millennium: milenio milenio» milenium millennium millenium civilizaciones xxi stonehenge sarpe remontan
millions: miles millón cientos millones ingentes mil cuantiosos trillones milliones centenares
milton: milton waldo aldington wadsworth sidney addington bloomfield hylton chester alton
mineral: minerales mineral sulfurosas sulfuros piritas mineralización fosfatos fluorita minerals mineralógica
minimal: mínima significativa mínimo puntual sustancial proporcionalidad adicional relativa estacionalidad mínimos
minneapolis: minneapolis minneapolis/st york buffalo miami louisville toronto providence geneva chicago
miscellany: miscellany es/nav/navigate misceláneo fasc loddiges theoi inglés, es/issue es/bnesearch/detalle/bdh marylandubicación
missionaries: misioneros evangelizadores misioneras misionarios evangelizaron evangelizados catequistas catequización evangelización misionera
missionary: misionero misionera misioneras misioneros misionario misional evangelizó evangelizador catequista evangelizadora
mistakes: errores equivocaciones equivocados incorrecciones equivocadas incomprensibles descuidos incorrectos acertados equivocación
mit: mit stanford seminar universität alber unsj ins modell heidelberger seit
mixture: mezcla mezclan mezclados mezclando mezclaba mezclada mezclarlo mezcladas mezclándolo mezcle
moderate: moderada moderado moderadas modera moderados moderadamente moderadora moderar extrema leve
modes: modos modo tipos unidireccionales bidireccionales subniveles dual duales simultáneos controlables
module: módulo módulos modulo module mapea modulos payload mapeado modular modules
moments: momentos instantes coletazos emotivos inesperados fugaces conmovedores tensos inolvidables emocionantes
monarch: monarca kalākaua kamehameha lunalilo abdicado regencia abdica regente rey reinar
monk: monje ermitaño anacoreta abad pacomio archidiácono eremita diácono peregrino patriarca
monks: monjes benedictinos benedictinas abades cistercienses monásticos monasterios canónigos monjas monacales
monroe: monroe mercer dewitt covington randolph marion hodgeman vinton torrance crawford
monte: montebello montecarlo monte simplón porco tagliamento montecarmelo viterbi cervino padula
morocco: marruecos argelia túnez senegal orán mauritania ifni magreb essaouira tinduf
morrison: morrison harrison grant pierson ayers bennett kenney richards mcgarrett fitzsimmons
moses: moisés moses gamaliel juda abraham judah profeta sansón zachariah elijah
motorcycle: motociclista motocicleta motociclistas automovil motocicletas motorista automovilista automóvil motorcycle automoviles
motors: motors colmotores daimlerchrysler daimler tractores eléctricos ikco tracción automotrices automotores
motto: lema vincit divisa equis emblema pietas ¡salve eslógan patrio enarbola
mph: km/h mph  km/h km/hora kph velocidad_máxima mbar velocidad_inmersión km/l l/m²
murders: asesinatos asesinato crimen crímenes asesinos homicidios homicidio asesino magnicidios secuestros
muscle: muscular músculo musculo musculares musculatura músculos musculado musculación esquelético musculosa
mutual: mutuo mutua mutuas mutuos recíproca reciprocidad mutualidad reciproca recíproco recíprocas
myspace: myspace //myspace lastfm bandcamp insite facebook soundcloud //soundcloud youtubers musicapopular
mysterious: misteriosa misterioso misteriosas enigmática misteriosamente extraña fantasma misteriosos enigmático fantasmal
myth: mito mitos mitológico mitologías mitología arquetipo arquetípico cosmogonía dionisíaco mitológica
nacional: nacional umsnh uach uaem uanl estaduales sanmartiniano chapingo upaep veracruzana
nadu: penedès tarragonés baleares capdepera ampurdán cerdanya balears gerundense balear cerdanyola
naked: desnuda desnudo desnudos desnudas desnudó desnudar caricia fijamente desnudarse semidesnudo
naples: nápoles génova piombino rímini mesina bolonia sicilia salerno mantua milán
napoleon: napoleón napoleónico napoleónica napoleónicos napoleónicas bonaparte bonapartista borbones espartero borbónico
nathan: nathan aaron josh johnathan david joshua leah jonathan nate asher
nat: nat argenis bull llanero pat orb bye box simian llanera
nato: otan isaf armadas eurofighter osce kfor sks mbda rpk sigint
naturally: naturalmente aisladamente altamente espontáneamente biológicamente sintéticamente artificialmente ambientalmente preferencialmente excepcionalmente
negotiations: negociaciones negociación renegociación negociada acuerdos negociaron hostilidades negociar tratativas negociara
neighborhoods: vecindarios céntricos populosos suburbios suburbanos barrios urbanizados barrio residenciales avenidas
nephew: sobrino tío hermano hermanastro cuñado yerno hijo suegro abuelo nieto
nest: nido nidos anidar madriguera encaramado anida anidando anidan hembra macho
newfoundland: terranova newfoundland scotia baffin shetland fundy labrador chesapeake hoste nunavut
newman: newman nathanson silverman spellman mccord kempner grossmith stockard braverman michell
newport: newport halifax brighton falmouth gravesend quay southampton bristol dunkirk greenock
nicknamed: apodado apodada apodaba apodaban apodó apodaron apodan apodo apodados apodadas
nigerian: nigeriana nigerian nigerianas nigeriano nigeria ghanesa nigerianos ecuatoguineana ecuatoguineano sierraleonés
nights: noches noche trasnoche anochece madrugadas amaneceres medianoche mañanas tardes nocheros
nineteenth: xix xviii xx xvii xix» siglo albores xvi época xviii»
nobility: nobleza nobiliarias principescas nobiliaria nobiliario nobiliarios aristocracia principesca nobles aristocráticas
nominate: nominar nominarlo proponerlo postularlo votarlo presentarlo elegirlo votara renombrar presentarlas
nominating: nominar proponerlo revalidación nominarlo votaría revalidaciones votaciones votacion autopostulaciones propongo
nominee: nominado nominación nominó candidata nominada nominadas nominee votado nomino nominados
northeastern: noroccidental sudeste suroccidental sudoeste centroccidental sudoccidental suroriental sudoriental nororiental sur
norton: norton gandy gorton olds giddings willingham reade windham housman chatwin
nose: nariz retraído pómulo afilado arrugado mentón manguito alerón trasero tirabuzón
notion: noción premisa concepto contraponer contraposición planteamiento racionalidad razonamiento necesariamente contradicción
notre: notre dame quakers herbiers façade majeure saints facade miracles patronage
nottingham: nottingham leeds birmingham leicester newcastle mánchester eastbourne manchester huddersfield redbridge
novelists: novelistas ensayistas cuentistas escritoras escritores autobiógrafos literarios dramaturgos ilustradores poetas
nurse: enfermera enfermero enfermeras cirujana paramédico comadrona enfermería ginecóloga partera partero
nursing: enfermería enfermerías enfermeras sanitaria enfermero prehospitalaria enfermeros hospitalaria maternidad prehospitalarias
obscure: escasísima anecdótica imprecisa reseñada contrastada anecdóticamente escueta anecdótico rebuscada erudita
observation: observación observacional observacionales observaciones observador altimetría observas avistamiento observados observara
observations: observaciones observacionales observacional observados observación observadas detallados detalladas mediciones observas
observatory: astronómico observatorio observatory observatorios observatori planetario telescopio radioastronomía radiotelescopio vulcanológico
observer: observador observer observadores pictorialista observadora observe esquire c/o revista  posado
occasional: ocasional ocasionales esporádica frecuentes esporádico esporádicas frecuente habitual extensas ocasionalmente
occurring: ocurren ocurrencia acontecen ocurrir ocurre producen ocurridas acontece producirse suceden
offense: faltas ofensivos robos amonestaciones ofensivo novato amonestado cometido punitivo rechaces
operators: operadores operadoras operador demostradores prestadores contadores suministradores operados cooperadores operadas
opposing: contrarios contraria contrarias oponen contras oposición enfrentadas posturas oponerse opuesto
optical: ópticas óptica ópticos óptico optical infrarrojo infrarrojos ópticamente infrarroja reflectancia
optional: opcional opcionales opcionalmente adicional opcion obligatorio especificador incluya std defecto
ordained: coadjutor sacerdote sacerdotal presbítero ordenado subdiácono seminarista diácono sacerdocio diaconado
orlando: orlando orland dallas miami tampa beach anaheim amphitheater pompano davalos
oslo: oslo estocolmo linköping gotemburgo århus copenhague copenhage helsinki umeå jönköping
outbreak: estallido epidemia brote tifo estallado estalló pandemia bubónica azotó estallo
outline: bosquejo esbozo esquemático esquemática delineado subtema esbozado subtemas esbozó temario
overview: detallada resumen desglosa descripción resumida descripcion detallado desglosan desglosado detalla
owen: owen mcinnes kellaway dawson mcallister langston bronwyn brooke macguire davey
owns: dueño propietaria maneja propietario dueña vende propiedad copropietaria copropietario gestiona
pace: veloz ritmo brusca equilibrando bruscas rápida veloce brusco rapidísimo ímpetu
package: paquete paquetes cubox paquetería implemento empaquetado bloque package extras envoltorio
