abdul: abdulrahman nasir zakir saeed hussain muhammadu abdelrahman fahad abdul mohamad
ludwig: ludwig friedrich-wilhelm hartmann friedrichs friedrich abendroth dieterich schlick strassburgu friederich
lunar: księżycowy okołoksiężycowy księżyc 25143 lunarny wokółksiężycowy paralaktyczny astronomiczny pozagalaktyczny syderyczny
lutheran: luterański ewangelicko-luterańskiego staroluterański ewangelicko-luterański ewangelicki ewangelicko-luterańskim ewangelicko-unijny ewangelicko-metodystyczny ewangelicko-metodystycznego ewangelicko-unijnego
luxembourg: luksemburg esch-sur-alzette monako belgia houffalize saint-barthélemy pétange luksemburski annemasse meuron
lynn: kiedrzyńska sarzyńska magdalena wyszyńska gruszczyńska nowakowska soska małgorzata więckowska monika
lyon: lyon montpellier tarbes nîmes bobigny montauban metz nantes limoges lilla
macdonald: ziemiński pytlakowski ziemiałkowski duszyński ziemięcki stawiński kwapiszewski siwiński bońkowski fiałkowski
macedonia: macedonia serbia bułgaria macedoński makedonija macedończyk epir-macedonia czarnogóra macedonian albania
madagascar: madagaskar madagaskarski mauritiusu papuę-nową mauritius madagascar malgaski maskarenach futuny maskarenów
madonna: madonna umbrelli cappadonna undone adore pettibone mezzanine dzieciątko hilson primadonna
maharashtra: solukhumbu 2011 3065 1990 2001 3485 22330 zamieszkiwać 2554 2239
malayalam: bahasa dubbingpedia malajalam nieangielskojęzyczny थ ষ gowariker ম obcojęzyczny nowoangielski
malcolm: zdzisław mieczysław rogoziński girzyński stawiński stefan stamir kociński mamiński godziński
mandatory: obowiązkowy nieobowiązkowy obowiązywać obostrzyć limit zezwolenie 2024 konwencyjny obowiązać bezterminowy
mann: sommer sandauer maleczek neinert heiner micha netter engel schimscheiner wollny
mansion: rezydencja pałac pałacyk pałacowo-parkowy dworek pałacowo-parkowym pałacowo-parkowego pałacowy parkowo-pałacowy pałacowo-parkowe
manufacture: wyrób produkcja półfabrykat wytwarzać bezdymny opatentować wytwórca produkować rafineryjny fabrykacja
maple: koniczynowy koniczynka turówka koniczyna żubrówka śledziennica wisienka klonowy wistowy siódmaczek
marble: marmurowy marmur alabastrowy alabaster marmurek sarkofag płaskorzeźba płaskorzeźbić wyrzeźbić mozaika
marco: claudio alessandra desio fabia olivo lucas zanotti cornelio sergio timoteo
maría: maría maríę santamaría maríi florencia maríą inmaculada mónica inés reguera
marina: marina arbor astoria impieratrica nicosia zato levan sloat pascagoula sarasocie
marines: marines komandos kompania ghq wartowniczy desantowy army ran-u konwojowy zwiadowca
marion: monier duczka drewko czeszewie monia licharewa natalin julin michalin marcelin
marking: poprzedzać poprzedzić oznakować oznakowanie ostatni wyznaczać znakować oznakowywać imienny orientacyjny
marshal: generała-pułkownika generał generała-porucznika generałem-porucznikiem generał-majora generał-porucznik generał-major generał-adiutant generała-majora generałem-majorem
marsh: olszowy mikołajski bagiennik grabowy bagier zieleniak olsza płocharski kania moczarka
martha: natalia helena olga nina kantorka rebeka weronika miriam georgina magdalena
mascot: maskotka miś logo orzełek orzeł stilton dastardly nazwa pocztowiec maluda
mask: maska brodiego mask rackhama spectora wooda tatuaż rękawica lyona jacket
mate: partner toni reprezentant 32-letni zabraknąć macek kamui 9-letni alka muslera
mathematician: matematyka matematyczka matematyk fizyka kosmograf metrolog astronom przyrodoznawca astrofizyka astronom-amator
mature: dojrzały dojrzale płodny niedojrzały dojrzeć przejrzały generatywnie dorodny dojrzewać bujnąć
maxwell: dziewiątkowski gryziński pyka modelski danielczyk jaskólski krassowski kupiszewski aksamitowski pluciński
maya: menui lela wendi taga tewa sarita chiri samana taraji lar
mcdonald: karolak kiełbasiński sanakiewicz staniak cymański chajzer misiek ciurapiński kurzajewski błaszczyk
measurement: pomiar manometryczny pomiarowy barometryczny mikrometryczny grawimetryczny olfaktometryczny termometryczny antropometryczny spirometryczny
measuring: mierzyć pomiar wielkość mikrometryczny wielkościowy pomierzyć niwelacja antropometryczny niwelator batymetryczny
mechanics: mechanika inżyniera-mechanika biomechanika metrologia materiałoznawstwo maszynoznawstwo elektromechanik statyka terenoznawstwo newtonowski
melody: melodia refren melodyczny akompaniament melodyka melodyjka instrumentalny zwrotka wokalno-instrumentalny akord
memphis: dks piekary memphis lędziny katowicki siemacha katowice fojkisa knurów szombierki
mesa: alomar alamosa palomares coronado vista baral wyoming colfax alameda reino
mess: sprzątać posprzątać wysprzątać koszmarnie adziura załatać powrzucać zaprzątać bałagan śmiecić
meter: metrowy metr decymetrowy 25-metrowym 50-metrowym stumetrowy k120 trzymetrowy krótkodystansowy 10-metrowej
metre: metr metrowy 50-metrowym 25-metrowym skok skoczyć stumetrowy trampolina hs134 k120
mhz: mhz kbit ghz mbit mbps gbit vhf kbps khz dvb-t2
michelle: michelle jennifer lauren naomie julianne natalia nichelle renee susan rachelle
midnight: cisza poniedziałek poranek odlot noc wieczór kawalkada powszedni zmrok hour
migration: migracja migracyjny migrant migrować napływ napływowy wędrówkowy kolonizacja imigracja imigrować
militia: milicja gwardia ochotnik partyzancki powstańczy zdezerterować brygadier werbunkowy ochotniczy kilkusetosobowy
millennium: tysiąclecie millenium milenium milenijny era iii-v stonehenge millennium vi-ix iii-ii
milton: leśmierz morcinek kasprowicz mazor reymontowski gomunice golias makosz olas kijański
minimal: minimalny wymagałyby zauważalny minimalizować relatywnie niezauważalny względnie nieprzekraczalny minimalizacja niezauważalnie
minneapolis: marienlyst siden łódź-bałuty otrębusy trójmiasto sopot breźnie polnord łódź-widzew 2015
mistakes: błąd potknięcie niedociągnięcie douczyć nieporadność niechlujność popełniać nauczka niedoróbka popełniłeś
mit: göttinger findeisen umwelt professors einst humboldt-universität akademischer weiter tübinger schwestern
mixture: mieszanka zmieszać wymieszać mieszanina domieszka domieszkować domieszkowy eterowy mieszać nasycać
module: moduł n-2 array node ecliptic programator mplm lr2 payload alsep
mohammad: mohammad mohamad mohammadi bahman muzaffar mahmouda rahman abdulrahman syed nawaz
moments: przebłysk przedsmak dwudziestominutowy emocjonować trzyminutowy dwuminutowy kilkuminutowy dziesięciominutowy pamiętny jednominutowy
monarch: monarcha król monarszy monarchini tron koronacja korona koroniec koronować koronacyjny
monarchy: monarchia prohabsburski monarchiczny monarcha absolutystyczny absolutyzm elektorat monarchini marionetkowy protektorat
monica: monica sarasocie rita anita mia kanka melania monicą sandra tammy
monkey: puffin ognisty aborygenka czarnobrody pingwinek squirrel kłapouchy tasmański kangurek papuga
monk: mnich mniszka pustelnik pustelnica postnik pustelniczy mniszek schimnich eremita becketa
monks: mnich klasztor przyklasztorny pustelniczy klasztorny pustelnia pustelnica zakonnik opat eremita
monroe: malka łasić natalin rosko paplin kaplin wieleba świątek rogoża chruszczewka
monte: monte monte-carlo cresta castellana montecarlo castellar capanna montecristo ponente capić
montenegro: czarnogóra serbia chorwacja bośnia hercegowina słowenia jugosławia komšić czarnogórski ivanković
morrison: roniewicz kwietniewski rynkowski solak promiński piętowski sipiński koralewski konwiński mazolewski
moses: mojżesz ozjasz eliasz jonatan natan elizeusz jetro sofer lewi rabbi
motorcycle: motocyklowy motocykl samochód motocyklista samochodowy automobilowy wyścigowy motocrossowy crossowy automobilklub
motors: motors powertrain motor daewoo-fso daimlerchrysler engines pol-mot adtranz daimler niskoprężny
motto: dewiza motto gratia napis gaudium sigillum zawołać vivat deo vincit
mph: 30km 100km minprędkość prędkość 20km mph 50km 90km 1000km 60km
muscle: mięsień mięśniowy ścięgnisty mięśniak pośladkowy przykurcz mięśniówka trzewny ścięgno podkolanowy
myspace: myspace personally this looked doesn started whoa disconnected mistake believed
mysterious: tajemniczy zagadkowy sekretny tajemny telepatyczny odkrywać detektyw-amator mroczny łotrzyk corwina
myth: mit mityczny wierzenie mitologizacja mitologizować legenda zmitologizować rodowód legendarium zwierzenie
nacional: nacional nacionales nacionalem internacional nacionalni comunicaciones católica portuguesa nacionalu internacionalem
nadu: yms miejsko-wiejska honsiu prefekturalny zamieszkiwać mikronezyjski akita ajnowie bezdenominacyjny prefektura
naked: nagi goły wylegiwać skąpać obnażyć półnagi twarz zakrwawić niewidoczny rozszarpywać
naples: neapol genua messynie ferrarze wenecja cosenza mesynie chioggia cosenzy pallavicino
napoleon: napoleon bonaparte bonapartysta antynapoleońskiej bonapartych antyfrancuski napoleoński napoleonka kondeusz bonapartyzm
nascar: fia nascar indycar supercup supercars 24-godzinny sportscar protour sebring m-sport
nathan: daniel deron miah brandon abner biderman jeremiaha ben noah nathan
nationwide: ogólnokrajowy ogólnoświatowy europride publiczny jcc teilifís europolu komisyjny ogólnomiejski zarejestrować
nat: nat rl printer rep anansi 2011-obecnie foo 2004-06 1971 2011-
naturally: naturalny naturalnie sztucznie niecałkowicie różnorodnie syntetycznie dostatecznie obficie obojętny selektywnie
nephew: bratanek siostrzeniec kuzyn brat wuj zięć przyrodni ojciec wnuk stryjeczny
nest: lęgnąć gniazdownik gniazdo lęgowy legowisko wylęgnąć lęgowisko dziupla zagniazdownik pustułka
newman: wesołowski kaczmarski szafrański wojnarowski serafiński szafrańska szramek szlagowski przebindowski kotlarczyk
nicolas: nicolas françois antoine gregoire bernardin françoisa françois-marie philipe sebastien alexandre
nineteenth: xix xviii dziewiętnastowieczny stulecie xviii-wiecznego xviii-xx xix-wiecznej xviii- xix-wiecznego xvii-xviii
nominate: jdavida zagłosować jurekj zaproponowałeś zaproponowałem zgłosiłbym zagłosowałem zagłosowałbym głosować kamilque
northeastern: południowo-wschodniej południowo-centralnej północno-centralnej środkowo-południowej północno-wschodni północno-zachodniej środkowo-zachodniej południowo-zachodniej południowo-wschodnie południowo-wschodnimi
norton: cichosz kotarski garbacik tosiek gałkowski kłopocki gałowski pyka rosiek bochnak
nose: golić nos wygolić ucho nożycowy policzkowy pośladek łopatka unieść podbródkowy
notion: pojęcie twierdzić implikować twierdzenie implikacja indeterminizm teoria determinizm postulować idea
notre: notre cathédrale trône zimoń basilique dame notre-dame sacré grignion chapelle
nottingham: zabrzański chorzów zabrze dębica siemkowice tychy janków radzionków sosnowiecki mielecki
nurse: pielęgniarka pielęgniarz dentystka pielęgniarski położna lekarka sanitariuszka laborantka terapeutka dentysta
observatory: obserwatorium observatory observatorium astronomiczny radioastronomiczny obserwatorka teleskop radioastronom radioteleskop radioastronomia
observer: obserwator widnokrąg obserwatorka observer observers roić spectator observed akredytować wschodzić
occasional: okazjonalny sporadycznie okazjonalnie sporadyczny nieregularnik przeważnie kilkunastominutowy zdarzać nieczęsto nieczęsty
offense: zawinić karać przewinienie kś ukarać karny pkt chuligański niesportowy nieumyślny
optical: optyczny elektrooptyczny magnetooptyczny optoelektroniczny plazmowy detekcja światłowodowy holograficzny oscyloskopowy interferometryczny
oriental: orientalny oriental orientalia orientalizować orientalistyczny bliskowschodni orientalistyka jukatański południowoazjatycki orientalis
orlando: 2014r 2009 2011r 2010 1973 2009-2017 cancun orlando 1972 2009-2012
oslo: oslo kopenhaga-kastrup gjøvik trondheim kopenhaga kristiania førde kristiansand stavanger skien
outbreak: wybuch wybuchnąć popowstaniowy pandemia wojna powstanie antynapoleońskiej epidemia światowy tyfus
outline: zarys podstawa bazowane jednolity charakterystyka opatrzyć bazowany nakreślić szkic kompendium
pace: tempo obiecujący zawrotny szybki trzyminutowy szybko sekunda autowy sekundować nadspodziewanie
pack: pack turok powder speed trunks czteroosobowy blazing bulić jackrabbit jackpot
pale: granatowoczarny ciemnorudy ciemnoniebieski ciemno ciemnobłękitny ciemnooliwkowy pomarszczyć szaroczarny niebieskoczarny opalizować
palomar: iso-heikkilä simejiz schelte kleť landessternwarte nauczny kohoutek palomar kohoutka alomar
papua: papui-nowej papua-nowa gwinea papuę-nową timor papua tongatapu fidżi indonezja brunei
paradise: paradise raj forbidden rozkosz rajski edens zenda upiór eldorado brookliński
para: poco vivo asalto estas treinta seis puede iru seruicio strzelectwo
particle: gluonowy cząstka kwazicząstka antycząstka fermionowy kwarkowy barionowy pozyton neutronowy molekuła
passion: pasja uwielbić namiętność zamiłować radość umiłować natchnienie szaleństwo misterium młodość
paste: krepel wkleić doprawić subst ręczno podmiana kuskus skleić dodawać wrzucić
pastor: pastor superintendent duszpasterz kaznodzieja proboszcz duszpasterzować ewangelicko-augsburskiego ewangeliczka ewangelizator ewangelik
patricia: patricia patricię patricii mariela patrician rosalyn kathleen teresa patricią anita
patron: patron współpatron patronować patronka mecenas patronalny donator fundator charyton dobroczyńca
paying: dopłacać opłacać wypłacać zarabiać płacić wpłacać opłacić dopłacić odpracowywać popłacać
payment: płatność uiścić wypłata wypłacać gotówkowy przedpłacić odpłatność należność zapłata rozliczenie
penalties: karny faul absencja faulować sfaulować podwyższenie przedawnić przekroczenie wykroczenie niesportowy
penn: 1984r bartnik miętne michalec bartko machała litwiniec komasy kober gruda
performer: tancerz choreograf komik musicalowy tancerka stand-up wykonawczyni flecistka choreografka wodewilowy
permanently: trwale reszta zdjąć stały częściowy całkowicie bezpowrotnie definitywnie zamieszkać zamienić
permit: zezwolić zezwolenie pozwolenie zezwalać stosowny homologacyjny uprzedni zgoda homologacja wyłączny
pet: fretka mysz tamagotchi 30c zwierzątko żółwica pupilek pet gupik rubble
philippe: philippe jean-philippe philibert françois jean-charles jean-rené christophe françois-joseph jacques pierre-antoine
physically: fizycznie mentalnie siebie odseparować odizolować mutować wytrenować niezdolny wyedukować momentalnie
pianist: pianista pianistka wiolonczelista wiolonczelistka kontrabasista klarnecista saksofonistka kompozytor dyrygent jazzowy
ping: ping ichibanpl longji meiling pinga wensui longtan tức cảm ấn
pin: pin dziurkarka etui klapka zatyczka blotka latarka miniaturowy kluczyk bracelet
pipe: ołowianka kubeł hydrant zbieralnik kapsel wiatrownica piszczałkowy nicielnica zasuwa piszczałka
plains: puszta równina równinny lepietnicy nizina żylicy wyżyna wschodniosłowackiej środkowomazowieckiej koczowisko
plateau: stoliwo dolinny kotlina dolina dziumbiera börzsöny płaskowzgórze północno-zachodnimi tokajsko-slańskich północnoalbański
playwright: dramatopisarz dramaturg dramatopisarka dramatopisarstwo powieściopisarz bajkopisarz nowelista komediopisarz powieściopisarka prozaik
plymouth: rońsko ostrowiec wożuczyn zabrzeg stepnica dębica rybotycze żurawica niewirków sobolice
poles: amerykanin triak niearyjski rosjanin siuks dziesięciopunktowy izolat dakotowie ottawów lapończyk
politically: politycznie polityczka niepolityczny ideologicznie niepopularny kulturalnie polityk patriotycznie społecznie demokratycznie
polo: waterpolo waterpolista siatkarz kajak-polo pływak polo pływacki kajakarz plażowy siatkarski
pond: sadzawka jeziorko źródlany jeziorsko żwirownia jeziorkowa nadjeziorny płot jeziorką jeziorowy
porter: starski grzechowiak kramarski sobczyński stamir wicherek kawiński karasiński baczyński sawiński
portsmouth: świnoujście gdynia sokółka sielce szczecin dziwnówek niewiadów starosielce ostrowiec jagiellonia
potter: antoniszczak florek dratewka szancer warchoł pilipiuk kanalarz grażynka koszałka lutczyn
pound: pound trep funt grosz kęs kłak 180-200 kwadrans kwartnik pens
powell: konikiewicz brusikiewicz dymkowski andrusikiewicz krzanowski pietraszak kieliszkiewicz cieślikowski matuszkiewicz dorawski
praise: pochlebny pochwała pochlebnie chwalić pochwalić niepochlebny pochwalny niepochlebnie wychwalać docenić
precedent: precedens precedensowy obowiazuje obowiazku powyzszej przeslanka zdroworozsądkowy obowiazek dopoki regulamin
precisely: dokładnie zatem słowy jednoznacznie przykładnie kontrprzykład precyzyjnie analogia tzn nieprecyzyjnie
precise: precyzyjny dokładny precyzyjnie precyzyjność poprawny dokładność precyzja niedokładność niedokładny niedokładnie
preference: preferencja preferencyjny preferencyjnie preferować dobór preference prefer preferences protekcjonalny różnica
preparing: przygotowywać przygotować przygotowanie gotowy rozpocząć przygotowawczy sporządzać przeprowadzać dziewięciomiesięczny kompletować
presbyterian: poewangelickiego rzymsko-katolickiego rzymsko-katolickim ewangelicki rzymsko-katolicki poewangelicka rzymsko-katolickiej rzymsko-katolicka rzymsko-katolickie polsko-katolickiego
presenter: prezenterka prezenter tvp2 współprowadzić tvp telewizyjny talk-show reporterka tvp1 dziennikarka
preston: kowalkowski gierszewski szczepankowski kleszczyński chwałczyk stryjewski szczeblewski kikowski garbacik prostyń
prey: drapieżnik rybożerny drapieżny drapieżnictwo padlinożerny drapieżca straszyk chwytać insekt mięsożerny
priority: priorytetowy priorytet pierwszeństwo załącznikowy minimum uzgodnić ułatwić załącznik dyrektywny rozwiązałoby
privacy: prywatność poufność anonimowość oversight zabezpieczenie jawność precedensowy monitoring ofcom ceidg
privately: prywatny filia natolinie wydzierżawić dzierżawić spółka odpłatnie nieodpłatnie właściciel prywatnie
probability: prawdopodobieństwo losowy chi-kwadrat estymator nieujemny nieprawdopodobieństwo obliczalność przeliczalność probabilistyczny obserwable
proceedings: procesowy rewizja rozprawa dowodowy postępowanie acta posiedzenie procesować sądowy orzeczenie
prof: prof dr professor hab dra professora nadzw professors doktorant kazhdan
promised: obiecać obietnica zażądać zaoferować zgodzić zapowiedzieć przyobiecać postanowić nakazać obiecywać
promise: obietnica obiecać obiecywać spełnić nadzieja przyrzekać pragnąć chcieć marzenie krucjatowy
propaganda: propagandowy propaganda propagandhi propagandzista propagandysta antynazistowski prowojenny agitacja antyfaszysta pronazistowski
proportion: procent odsetek kilkuprocentowy przeciętny procentowy ilość przyrost wynosiłaby nieznaczny proporcja
propulsion: s5w spalinowo-elektryczny spalinowo-elektrycznym napęd turbinowy wodnociśnieniowy napędowy diesel-elektrycznym pędnik wodnorurkowy
prototype: prototyp prototypowy prototype xb-70 wielkoseryjny xb-42 trimotor dwumiejscowy seryjny skonstruować
providence: sercanka choroszcz trześciance opatrzność turów horostycie wola malinnik żejtun krynka
provider: services usługa usługodawca provider polkomtel outsourcingowy teleinformatyczny telekomunikacyjny outsourcing mvno
provisional: tymczasowy dyrektoriat formalnie styczniu-lutym rnna listopadzie-grudniu wojskowo-cywilny prowizorium taryby czk
proximity: bliskość bezpośredni sąsiedztwo styk lokalizacja dogodny dogodność lokalizować sąsiadować relokacja
prussian: pruski austriacko-pruskiej weimarski prusko-austriackiej niemiecko-rosyjski austriacko-niemiecki północnoniemiecki reichswehrze wielkoniemiecki ober-ost
publicity: rozreklamować medialny prasowy promocja wizerunkowy zagranica prasa legitymacja promocyjny oddźwięk
publish: opublikować publikacja publikować zrecenzować wydawca recenzować zamieścić czasopismie recenzyjny publikacyjny
pub: pub vis-a-vis cracow piwiarnia zaułek klubokawiarnia książnica biesiada knajpa 86-87
pump: pompa grzałka rekuperacja ciśnieniowy hydromasaż wodnociśnieniowy podciśnieniowy osuszacz pompowy rozrusznik
punishment: karać skazywać kara przewinienie ojcobójstwo wymierzać królobójstwo nieposłuszeństwo krzywoprzysięstwo dzieciobójstwo
pursuit: pościgowy ścigać tropić pościg iskać poszukiwać przeszkodowy podążać zmaganie animusz
quantity: ilość objętość masa kaloryczność objętościowy liczność przeliczeniowy przeliczyć procent wysokowartościowy
quarterly: kwartalnik półrocznik kwartalnie półrocznika dwumiesięcznik kwartalny miesięcznik współredaktor współredakcja biuletyn
quarters: wartownia mieszkalno-gospodarczy pomieszkiwać pomieścić kwaterunek najmować domostwo drewutnia zagroda wykwaterować
quartet: kwintet kwartet quartet quintet sekstet concerto sextet quartets orkiestra concertos
quest: quest adventure adventurers adventurer corwin heroic lanfeust conan turok ziemiomorza
quiet: niespokojny spokojny pogodny cisza pogodno cichy niespokojnie spokój czujny przenikliwy
rafael: magaña mijares armendáriz miguel florencio nacer tovar óscar efraín escudé
raiders: jango raiders drużynnik kuszczak brek ukh mortyr drużyna naprzodu roan
rainbow: tęcza zadymka tęczowy rainbow flaming bait zielony syrenka zefirek flamingo
raja: shemshaki brunejski chalen kelantan johor mansi chalo kamara gymkhana baa
ranch: ranczo rancho stadnina ranczer inwałd camping krupówki yosemite stajenny rekowo
rankings: ranking rankings rankingowy nierankingowy singlista top10 statystyk deblista statystyka indywidualnedyrektoriat
rape: gwałt zgwałcić dzieciobójstwo ojcobójstwo molestować pedofilia morderstwo pedofilski przemoc sprawca
rap: hip-hopowy trip-hop hip-hop hopowy rap gangsta hop doggystyle rapcore crunk
rapper: raper gangsta nigga rhymes ghostface raekwon daddy niggaz krs-one jazze
rat: szczurzy twardziak myszy goryl jeżozwierz phaner makak łaskun fungus orangutan
reasonably: rozsądnie niż możliwie niewystarczający dobrze rówień byłoby oględnie niekoniecznie dostatecznie
receiver: kontroler programator zwiernik miernik lgc matówka przewodowy stoper tyrystorowy fsk
reconnaissance: zwiadowczy rozpoznawczy bombowo-rozpoznawczego zwiad reconnaissance wywiadowczy szturmowy eskadron bojowy poszukiwawczo-ratownicza
reconstruction: rekonstrukcja odbudowa rekonstrukcyjny zrekonstruować rekonstruować rekonstruktor konserwatorski renowacja rewaloryzacja renowacyjny
referendum: referendum uchwalić parlamentarny przedterminowy parlament powyborczy wielopartyjny eurowybory przedwyborczy jednopartyjny
refuge: schronić schronienie azyl obozowisko odosobnić kryjówka zabłądzić noclegowisko odosobnienie niegościnny
reid: waczyński maciaszczyk witaszczyk łukaszczyk maciejewski wojtaszczyk andrzejczak kamrowski staszczyk maszczyk
relay: plesie skok kaprun sztafetowy k-125 relays k-116 k-120 k90 anterselvie
reliability: miarodajność niezawodność bezawaryjność sprawdzalność zawodność poprawność wiarygodność usterka miarodajny awaryjność
rely: korzystać skontrolować przeterminować wyspecjalizować starczać zhakować wykluczać preferować konkretny agregować
researcher: naukowiec ekspertka badaczka amerykanista biolog badanie iranista biocybernetyka radiobiologia neurobiolog
resignation: dymisja rezygnacja zdymisjonować ustąpić przedterminowy dymisjonować odwołać interpelacja zwolnić urzędować
retreat: nadciągnąć kontrnatarcie całodniowy przeciwnatarcie nadciągać odwrót natarcie wkroczyć odmaszerować wymarsz
reveal: ujawnić ujawniać wyjawić odnaleźć skrywać ukryć upewnić wymazać wyjawiać pobrać
revolt: rewolta bunt stłumić rebelia zdławić wzniecić wybuchnąć zbrojnia zbuntować zrewoltować
rewrite: przeredagować przerobiłem porządnie podhasło rozbudowałem przeredagowywać dopracować autopoprawka przeredagowałem przetłumaczyłem
reynolds: dymkowski kobierski gęsikowski matyjaszkiewicz siwkiewicz żarnecki rogalski pluciński kosikowski bujakiewicz
rhine: mozelą ren-men-dunaj soława wezery teutoburski rheinfelden oberland ren nadrenii-palatynacie nadrenia
rhodes: rhodesa rhodes jethon jończyk rodek matera aleksanderek winicjusz galos kordos
rica: peru kostaryka chile wenezuela meksyk ekwador honduras paragwaj kolumbia salwador
richards: kuśmierczyk szymańczak mowlik osenkowski sanakiewicz świerczyński grzegorczyk zdrójkowski rotowski stefankiewicz
richardson: sitkowski woszczyński poliński cieślakowski bodzianowski zdunikowski baszczyński rostkowski sarzyński pliński
ritual: rytuał rytualny obrzęd rytualnie obrzędowy całopalenie wróżbiarski całopalny inicjacyjny ciałopalenie
rivalry: rywalizacyjny rywalizacja rywalizować rywal kibicować wdać współzawodnictwo oldboy futbolowy posucha
robertson: haniszewski kaliszewski cieślakowski plewiński szewiński dziewiątkowski piątkowski cholewiński świątkowski złotkowski
rochester: łomianka breźnie modlnica leoncin łaskarzew ołtarzew tyrawa tczyca malawa somianka
rod: śrubka kołeczek wypychacz czop wkręcić golarka wkrętak speed-ball rolka naciągacz
roland: roland 1967 1966 stanier 1969 henne briant orser bronwen gibson
roller: speedrower bijakowy coaster orlik klockowy ślizg walcarka łyżworolka wiatrakowy rollercoaster
rosa: graciela clarita sepulveda gracia montilla clara graciosa rosana rosita fabra
rotation: rotacja obrót syderyczny kątowy nutacja półoś 2π pulsacja precesja przemiennie
routine: rutynowy przedmedyczny sprawdzać przećwiczyć przedmiar instruktaż poradnikowy wskazanie przegląd niemedyczny
rpm: rpm 4-biegowa 3-biegowa in³ bi-turbo cm³moc biturbo 5-biegowa gw323 tfsi
rubber: gumowy guma kauczukowy gumować nylon monokok dętka gutaperka nylonowy tworzywo
ruth: ruth anita miriam fraszyńska landowska marlena kicińska papuzińska kamińska evelina
sacramento: narew wanka sacramento mulatka rosica limanovia tabie sioux audioriver piski
sad: smutny smrt postaja mamić zostaja obilić nije ljubav zasmucić naš
sail: opłynąć odpłynąć żagiel podpłynąć żeglować popłynąć żaglowiec przepłynąć dopłynąć statek
salem: szaki hane tabie raby ramzy salem jasin sadlinki skomielna zawada
salmon: zwierzyna karp sieja szczupak łosoś brzanka pstrąg krokosz troć lipień
salvador: aragua salvador nicaragua magaña amílcar panama diosdado maracay salwador guaporé
sanctuary: sanktuarium grota katakumba pieczara getsemani kolumbarium selirong sanctuary paralityk dromos
santo: santo espirito santa basílica coari rionegro panamá cotabato frio guadelupe
santos: santos madureira jerônimo fernandes moacir rosário cláudia redonda mesquita braga
sara: jessica sara jessika alissa tamsin danna herlihy kiernan kavan laila
savage: dziadunio morda batiar stańczyk starzecki dzikus bystrzak barbarian pechowiec savage
saxon: ruski saski starogermański staroniemiecki bamberski ottoński wczesnopiastowski józefiński staropruski połabski
saxony: schmalkalden-meiningen saksonia saksonia-weimar turyngia nordsachsen hesja mittelsachsen saalfeld-rudolstadt hunsrück torgau
saxophone: kontrabas altowy saksofon barytonowy kontrabasowy tenorowy saksofonowy klarnet puzon sopranowy
scandal: afera skandal korupcyjny korupcja malwersacja dochnal seksafera oszustwo watergate antykorupcyjny
screenplay: scenariusz reżyseria zekranizować wyreżyserować ekranizacja bafty film scenografia bafta współscenarzysta
screenwriter: scenarzysta scenarzystka reżyser współscenarzystka scenariusz współscenarzysta montażysta reżyserka współreżyser montażystka
sculptor: rzeźbiarz medalier rzeźbiarka witrażysta artysta-malarz dłuto artysta-plastyk metaloplastyka malarz rysownik
sebastian: sebastian michael gerety mathis mayers davis mayer florenz silvester jorgen
sec: urtip sek depa pkt uke rcb uokik aug fcc ibu
seemingly: pozornie nieraz nieprzypadkowy okazywać potrafiać telepatycznie przypadkowy pewny znikać sprytnie
sensitive: wrażliwy uwrażliwiać niewrażliwy pomocny użyteczny wychwytywać pasywny obojętny rozpoznawać przydatny
separately: oddzielnie osobny oddzielny odrębnie odrębny kolejność identycznie wyszczególnić obydwa pozostały
servant: sługa rządca urzędnik wysługa stajenny lokaj wysłaniec prawnik wielmożny powiernik
severely: poważnie uszkodzić dotkliwie uszkodzenie zaleczyć uszkadzać ucierpieć ciężki spowodować zarwać
sheep: owca bydło trzoda świnia krowa koza drób chlewny jagnięcina hodowla
sheet: arkusz tekturowy wyklejka kartonik kartonowy libella kleić stopka kopiowy arkuszowy
shelter: schronienie schronić schron noclegowisko prowizoryczny noclegownia nocleg schodnia zjeżdżalnia schronisko
sherman: mrożewski krok-paszkowski krukowicz-przedrzymirski przyjałkowski kopański bossak boruta-spiechowicz nakoniecznikoff-klukowski krzyżewski grzmot-skotnicki
shirt: koszulka koszula spodenki trykot szalik krawat przywdziewać bluza getr czerwono-białych
shoes: obuwie skarpeta bielizna rękawiczka skarpetka pończocha but rajstopy dres garnitur
shorts: czarno-białych czarno-białym klakier czarno-białymi czarno-biały clip trampek czarno-biała metro-goldwyn-mayer czarno-czerwony
shoulder: przedramię noga łydka plecy biodro szyja nadgarstek kolano kark przytroczyć
shrine: sanktuarium xii-wieczna świątynia mġarr kapliczka patronalny pielgrzymkowy procesja kult relikwia
sick: chory nieuleczalnie zniedołężniały zdrowieć niedołężny lekarstwo trzeźwieć otrzeźwić trędowaty wyzdrowieć
silence: milczeć cisza milknąć zamilknąć umilknąć agonia szyderczy spowiedź poranek szyderca
silva: silva maurício aloísio henriquez édson andrade correia falcão patrício silveira
sin: sin grzech magokoro daimonion hańba satana chul golgo kana daimon
sixteen: dziesięć osiem szesnaście sześć dwadzieścia jedenaście piętnaście trzy dziewiętnaście osiemnaście
